Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
Властелин колец 3: Возвращение Короля;Питер Джексон;США, Новая Зеландия;боевик, приключения, фэнтези;2003;1;9.43;3
Терминатор 2: Судный день;Джеймс Кэмерон;США;боевик, триллер, фантастика;1991;2;9.4;3
Побег из Шоушенка;Фрэнк Дарабонт;США;драма;1994;3;9.38;4
Форрест Гамп;Роберт Земекис;США;драма, комедия, мелодрама;1994;4;9.37;1
Властелин колец 2: Две крепости;Питер Джексон;США, Новая Зеландия;боевик, приключения, фэнтези;2002;5;9.36;1
Властелин колец: Братство кольца;Питер Джексон;США, Новая Зеландия;боевик, приключения, фэнтези;2001;6;9.29;4
Они сражались за Родину;Сергей Бондарчук;СССР;военный, драма, исторический;1975;7;9.2;1
Список Шиндлера;Стивен Спилберг;США;биографический, военный, драма, исторический;1993;8;9.17;6
Титаник;Джеймс Кэмерон;США;драма, исторический, мелодрама;1997;9;9.14;2
Зеленая миля;Фрэнк Дарабонт;США;драма, криминал, фэнтези;1999;10;9.13;2
Крестный отец;Френсис Форд Коппола;США;драма, триллер;1972;11;9.12;0
12 разгневанных мужчин;Сидни Люмет;США;детектив, драма;1957;12;9.12;0
Шерлок Холмс и доктор Ватсон: Охота на тигра;Игорь Масленников;СССР;детектив, криминал;1980;13;9.12;0
Назад в будущее;Роберт Земекис;США;боевик, комедия, приключения, фантастика;1985;14;9.11;2
Шерлок Холмс и доктор Ватсон: Собака Баскервилей;Игорь Масленников;СССР;детектив, криминал, приключения;1981;15;9.11;0
Шерлок Холмс и доктор Ватсон: Знакомство;Игорь Масленников;СССР;детектив, криминал, приключения;1979;16;9.11;0
Матрица;Лана Вачовски, Лилли Вачовски;США;боевик, приключения, триллер, фантастика;1999;17;9.1;1
Иван Васильевич меняет профессию;Леонид Гайдай;СССР;комедия, приключения, семейный, фантастика;1973;18;9.1;1
Кавказская пленница, или новые приключения Шурика;Леонид Гайдай;СССР;комедия, мелодрама, музыка, приключения, семейный;1966;19;9.1;0
Темный рыцарь;Кристофер Нолан;США;боевик, драма, кинокомикс, криминал, триллер;2008;20;9.08;5
Гладиатор;Ридли Скотт;США, Великобритания;боевик, драма, исторический, приключения;2000;21;9.08;3
Храброе сердце;Мел Гибсон;США;биографический, боевик, военный, драма, исторический;1995;22;9.06;2
Пролетая над гнездом кукушки;Милош Форман;США;драма;1975;23;9.06;0
Бриллиантовая рука;Леонид Гайдай;СССР;комедия, криминал, приключения, семейный;1968;24;9.05;0
Молчание ягнят;Джонатан Демме;США;детектив, драма, криминал, триллер;1991;25;9.05;2
Джентльмены удачи;Александр Серый;СССР;детектив, драма, комедия, криминал;1971;26;9.03;1
Аватар;Джеймс Кэмерон;США;боевик, драма, приключения, фантастика;2009;27;9.01;6
Назад в будущее 2;Роберт Земекис;США;боевик, комедия, приключения, семейный, триллер, фантастика;1989;28;9.01;1
"В бой идут одни ""старики""";Леонид Быков;СССР;военный, драма, комедия;1973;29;9.01;0
Пираты Карибского моря: Проклятие Черной жемчужины;Гор Вербински;США;боевик, драма, комедия, мелодрама, приключения, семейный, фэнтези;2003;30;9.0;2
Шерлок Холмс и доктор Ватсон: Кровавая надпись;Игорь Масленников;СССР;детектив, криминал;1979;31;9.0;0
1+1;Оливье Накаш, Эрик Толедано;Франция;драма, комедия;2011;32;8.99;0
Шерлок Холмс и доктор Ватсон: Король шантажа;Игорь Масленников;СССР;детектив, криминал;1980;33;8.97;0
Начало;Кристофер Нолан;США, Великобритания;боевик, триллер, фантастика;2010;34;8.96;4
Терминатор;Джеймс Кэмерон;США;боевик, триллер, фантастика;1984;35;8.96;1
День сурка;Харольд Рэмис;США;комедия, мелодрама, фэнтези;1993;36;8.95;2
Заплати другому;Мими Ледер;США;драма, мелодрама;2000;37;8.95;0
Собака на сене;Ян Фрид;СССР;комедия, мюзикл;1977;38;8.95;1
Чужие;Джеймс Кэмерон;США;боевик, триллер, ужасы, фантастика;1986;39;8.94;0
Леон;Люк Бессон;Франция;боевик, драма, криминал, триллер;1994;40;8.94;0
Хороший, плохой, злой;Серджио Леоне;Италия, Испания, Германия (ФРГ), США;боевик, вестерн, приключения;1966;41;8.94;0
Бен-Гур;Уильям Уайлер;США;боевик, драма, исторический, мелодрама, приключения;1959;42;8.94;0
Римские каникулы;Уильям Уайлер;США;драма, комедия, мелодрама;1953;43;8.94;0
Мстители 3: Война бесконечности;Энтони Руссо, Джо Руссо;США;боевик, кинокомикс, приключения, фантастика;2018;44;8.92;6
Блеф;Серджио Корбуччи;Италия;комедия, криминал;1976;45;8.92;0
Мимино;Георгий Данелия;СССР;комедия;1977;46;8.92;0
Ребенок Розмари;Роман Полански;США;детектив, драма, мистика, триллер, ужасы;1968;47;8.92;0
Крестный отец 2;Френсис Форд Коппола;США;драма, криминал;1974;48;8.91;0
Криминальное чтиво;Квентин Тарантино;США;драма, криминал;1994;49;8.9;1
Переговорщик;Ф. Гэри Грей;Германия, США;боевик, детектив, драма, криминал, триллер;1998;50;8.9;0
Десять негритят;Станислав Говорухин;СССР;детектив, криминал;1987;51;8.9;0
"Операция ""Ы"" и другие приключения Шурика";Леонид Гайдай;СССР;приключения;1965;52;8.89;0
Унесенные ветром;Виктор Флеминг, Джордж Кьюкор, Сэм Вуд;США;военный, драма, мелодрама;1939;53;8.89;1
Отпетые мошенники;Фрэнк Оз;США;комедия, криминал;1988;54;8.89;0
Жестокий романс;Эльдар Рязанов;СССР;драма, исторический, мелодрама;1984;55;8.88;0
Назад в будущее 3;Роберт Земекис;США;боевик, вестерн, комедия, приключения, семейный, фантастика;1990;56;8.87;1
Пес Барбос и необычный кросс;Леонид Гайдай;СССР;комедия, короткометражный;1961;57;8.87;0
Экипаж;Александр Митта;СССР;драма, мелодрама, триллер;1979;58;8.87;0
Один дома;Крис Коламбус;США;детский, комедия, криминал, семейный;1990;59;8.86;1
Парк Юрского периода;Стивен Спилберг;США;боевик, приключения, фантастика;1993;60;8.86;1
Москва слезам не верит;Владимир Меньшов;СССР;драма, комедия, мелодрама;1979;61;8.86;1
Укрощение строптивого;Франко Кастеллано, Джузеппе Моччиа;Италия;комедия;1980;62;8.86;0
Тот самый Мюнхгаузен;Марк Захаров;СССР;комедия, фэнтези;1979;63;8.86;0
Семь;Дэвид Финчер;CША;детектив, драма, криминал, триллер;1995;64;8.85;1
А зори здесь тихие;Станислав Ростоцкий;СССР;военный, драма, исторический;1972;65;8.85;0
Свой среди чужих, чужой среди своих;Никита Михалков;СССР;боевик, драма;1974;66;8.85;0
Меня зовут Кхан;Каран Джохар;Индия;драма, мелодрама;2010;67;8.84;3
На несколько долларов больше;Серджио Леоне;Италия, Испания, Германия (ФРГ);боевик, вестерн, криминал, приключения;1965;68;8.84;0
Спасти рядового Райана;Стивен Спилберг;США;боевик, военный, драма;1998;69;8.83;1
Индиана Джонс и последний крестовый поход;Стивен Спилберг;США;боевик, приключения, триллер;1989;70;8.83;0
Взвод;Оливер Стоун;Великобритания, США;боевик, военный, драма;1986;71;8.83;0
Пираты Карибского моря 2: Сундук мертвеца;Гор Вербински;США;боевик, драма, комедия, мелодрама, приключения, семейный, фэнтези;2006;72;8.82;0
Чужой;Ридли Скотт;США;триллер, ужасы, фантастика;1979;73;8.82;1
Звездные войны: Эпизод 5 - Империя наносит ответный удар;Ирвин Кершнер;США;боевик, приключения, фантастика, фэнтези;1980;74;8.82;2
Гран Торино;Клинт Иствуд;США;боевик, драма, триллер;2008;75;8.82;1
Профессионал;Жорж Лотнер;Франция;боевик, драма, криминал, триллер;1981;76;8.82;1
Бешеный бык;Мартин Скорсезе;США;биографический, драма, спорт;1980;77;8.82;0
Путь Карлито;Брайан Де Пальма;США;драма, криминал, триллер;1993;78;8.82;1
Хищник;Джон МакТирнан;США;боевик, приключения, триллер, ужасы, фантастика;1987;79;8.81;2
Общество мертвых поэтов;Питер Уир;США;драма;1989;80;8.81;0
Бойцовский клуб;Дэвид Финчер;Германия, США;драма, криминал, триллер;1999;81;8.8;0
Изгой;Роберт Земекис;США;драма, приключения;2000;82;8.8;0
Казино;Мартин Скорсезе;США, Франция;драма, исторический, криминал, триллер;1995;83;8.8;0
Жизнь прекрасна;Роберто Бениньи;Италия;военный, драма, комедия, мелодрама;1997;84;8.8;0
Невероятные приключения итальянцев в России;Эльдар Рязанов, Франко Проспери;СССР, Италия;комедия, приключения;1973;85;8.8;0
Берегись автомобиля;Эльдар Рязанов;СССР;комедия, криминал, мелодрама;1966;86;8.8;0
Завтрак у Тиффани;Блейк Эдвардс;США;драма, комедия, мелодрама;1961;87;8.8;0
Смертельное оружие;Ричард Доннер;США;боевик, криминал, триллер;1987;88;8.79;0
Лоуренс Аравийский;Дэвид Лин;Великобритания;биографический, военный, драма, приключения;1962;89;8.79;1
Покровские ворота;Михаил Козаков;СССР;драма, комедия, мелодрама, мюзикл;1982;90;8.79;0
Индиана Джонс: В поисках утраченного ковчега;Стивен Спилберг;США;боевик, приключения, триллер;1981;91;8.78;0
Малышка на миллион;Клинт Иствуд;США;драма, спорт;2004;92;8.78;0
Однажды в Америке;Серджио Леоне;США, Италия;драма, криминал;1984;93;8.78;0
Пианист;Роман Полански;Германия, Франция, Великобритания, Польша;биографический, военный, драма, музыка;2002;94;8.77;0
Человек с бульвара Капуцинов;Алла Сурикова;СССР;вестерн, комедия, мелодрама, мюзикл;1987;95;8.77;0
Рокки;Джон Г. Эвилдсен;США;боевик, спорт;1976;96;8.76;2
Апокалипсис сегодня;Френсис Форд Коппола;США;военный, драма;1979;97;8.76;0
Девчата;Юрий Чулюкин;СССР;комедия, мелодрама;1961;98;8.76;0
Одержимость;Дэмьен Шазелл;США;драма, музыка;2014;99;8.76;2
Самогонщики;Леонид Гайдай;СССР;комедия, короткометражный;1961;100;8.76;0
Невезучие;Франсис Вебер;Франция, Мексика;комедия, криминал, приключения;1981;101;8.76;0
Окно во двор;Альфред Хичкок;США;детектив, криминал, триллер;1954;102;8.76;0
Отступники;Мартин Скорсезе;США;драма, криминал, триллер;2006;103;8.75;2
Вечное сияние чистого разума;Мишель Гондри;США;драма, мелодрама;2004;104;8.75;2
Остров проклятых;Мартин Скорсезе;США;детектив, драма, триллер;2010;105;8.74;1
Престиж;Кристофер Нолан;США, Великобритания;детектив, драма, триллер, фантастика, фэнтези;2006;106;8.74;2
Игрушка;Франсис Вебер;Франция;комедия;1976;107;8.74;0
Поймай меня, если сможешь;Стивен Спилберг;США;биографический, драма, криминал;2002;108;8.73;1
Крепкий орешек;Джон МакТирнан;США;боевик, криминал, триллер;1988;109;8.73;5
Рэмбо: Первая кровь;Тед Котчефф;США;боевик, драма, приключения, триллер;1982;110;8.73;2
Звездные войны: Эпизод 3 - Месть Ситхов;Джордж Лукас;США;боевик, приключения, фантастика, фэнтези;2005;111;8.72;1
Нечто;Джон Карпентер;США;детектив, триллер, ужасы, фантастика;1982;112;8.72;0
Три билборда на границе Эббинга, Миссури;Мартин МакДона;США;криминал;2017;113;8.72;2
Гарри Поттер и узник Азкабана;Альфонсо Куарон;США, Великобритания;приключения, семейный, фэнтези;2004;114;8.71;1
В джазе только девушки;Билли Уайлдер;США;комедия, криминал, мелодрама, музыка, приключения;1959;115;8.71;0
Собачье сердце;Владимир Бортко;СССР;драма, комедия, фантастика;1988;116;8.71;0
Несколько хороших парней;Роб Рейнер;США;детектив, драма, криминал, триллер;1992;117;8.71;1
Гарри Поттер и философский камень;Крис Коламбус;США, Великобритания;приключения, семейный, фэнтези;2001;118;8.7;4
Игры разума;Рон Ховард;США;биографический, драма;2001;119;8.7;1
Звездные войны: Эпизод 4 - Новая надежда;Джордж Лукас;США;боевик, приключения, фантастика, фэнтези;1977;120;8.7;1
Хатико: Самый верный друг;Лассе Халльстрем;США;драма, семейный;2009;121;8.7;1
Джуманджи;Джо Джонстон;США;комедия, мелодрама, приключения, семейный, триллер, фэнтези;1995;122;8.7;0
Полосатый рейс;Владимир Фетин;СССР;комедия, приключения, семейный;1961;123;8.7;0
Как украсть миллион;Уильям Уайлер;США;комедия, криминал, мелодрама;1966;124;8.7;0
Перелом;Грегори Хоблит;США, Германия;детектив, драма, криминал, триллер;2007;125;8.7;1
Грань будущего;Даг Лайман;США;боевик, фантастика;2014;126;8.69;3
Шоу Трумана;Питер Уир;США;драма, фантастика;1998;127;8.69;0
Доспехи Бога;Джеки Чан, Эрик Цан;Югославия, Гонконг;боевик, комедия, приключения;1986;128;8.69;0
Не может быть!;Леонид Гайдай;СССР;комедия, мелодрама, мюзикл;1975;129;8.69;0
Нечего терять;Стив Одекерк;США;боевик, комедия, криминал, приключения;1997;130;8.69;0
Мстители;Джосс Уидон;США;боевик, кинокомикс, приключения, фантастика;2012;131;8.68;7
Гарри Поттер и тайная комната;Крис Коламбус;Германия, США, Великобритания;приключения, семейный, фэнтези;2002;132;8.68;2
Сердце ангела;Алан Паркер;США, Канада, Великобритания;детектив, триллер, ужасы;1987;133;8.68;1
Поменяться местами;Джон Лэндис;США;комедия;1983;134;8.68;0
Достать ножи;Райан Джонсон;США;детектив, драма, комедия, криминал, триллер;2019;135;8.67;0
Славные парни;Мартин Скорсезе;США;биографический, драма, криминал;1990;136;8.67;0
Нокдаун;Рон Ховард;США;биографический, драма, спорт;2005;137;8.67;0
Охотник на оленей;Майкл Чимино;США, Великобритания;военный, драма, триллер;1978;138;8.67;0
Обыкновенное чудо;Марк Захаров;СССР;комедия, мелодрама, мюзикл, фэнтези;1978;139;8.67;1
Обратная тяга;Рон Ховард;США;боевик, детектив, драма, криминал, триллер;1991;140;8.67;0
Тутси;Сидни Поллак;США;драма, комедия, мелодрама;1982;141;8.67;0
Чародеи;Константин Бромберг;СССР;комедия, мелодрама, мюзикл, фантастика;1982;142;8.67;0
Война;Алексей Балабанов;Россия;боевик, военный, драма;2002;143;8.67;0
Мальчик в полосатой пижаме;Марк Херман;США, Великобритания;драма;2008;144;8.67;1
Железный человек;Джон Фавро;США;боевик, кинокомикс, приключения, триллер, фантастика;2008;145;8.66;2
Привидение;Джерри Цукер;США;детектив, драма, комедия, мелодрама, триллер, фэнтези;1990;146;8.66;1
Карты, деньги и два ствола;Гай Ричи;Великобритания;криминал, триллер;1998;147;8.66;0
Казино Рояль;Мартин Кэмпбелл;Германия, США, Великобритания, Чехия;боевик, приключения, триллер;2006;148;8.66;1
Пираты Карибского моря 3: На краю Света;Гор Вербински;США;боевик, драма, комедия, приключения, семейный, фэнтези;2007;149;8.65;0
Стражи Галактики;Джеймс Ганн;США;боевик, кинокомикс, приключения, фантастика;2014;150;8.65;6
Банды Нью-Йорка;Мартин Скорсезе;США;драма, криминал;2002;151;8.65;0
Большой куш;Гай Ричи;США, Великобритания;криминал, триллер;2000;152;8.65;0
21 грамм;Алехандро Гонсалес Иньярриту;США;драма, криминал, триллер;2003;153;8.65;0
Интуиция;Питер Челсом;США;комедия, мелодрама, фэнтези;2001;154;8.65;0
Интерстеллар;Кристофер Нолан;США;детектив, приключения, фантастика;2014;155;8.64;6
Достучаться до небес;Томас Ян;Германия, Бельгия;боевик, драма, комедия, криминал;1997;156;8.64;2
Игра;Дэвид Финчер;США;боевик, детектив, приключения, триллер;1997;157;8.64;1
Служебный роман;Эльдар Рязанов;СССР;комедия, мелодрама;1977;158;8.64;0
За пригоршню долларов;Серджио Леоне, Монте Хеллман;Италия, Испания, Германия (ФРГ);боевик, вестерн;1964;159;8.64;0
Ип Ман;Уилсон Ип;Гонконг, Китай;биографический, боевик, драма, исторический;2008;160;8.63;0
Эд Вуд;Тим Бертон;США;биографический, драма, комедия;1994;161;8.63;0
Пятый элемент;Люк Бессон;Франция;боевик, мелодрама, приключения, триллер, фантастика;1997;162;8.62;1
Кинг Конг;Питер Джексон;Германия, США, Новая Зеландия;драма, мелодрама, приключения;2005;163;8.62;1
Пила: Игра на выживание;Джеймс Ван;США, Австралия;детектив, триллер, ужасы;2004;164;8.62;2
Американская история Х;Тони Кэй;США;драма, криминал;1998;165;8.62;2
Любовь и голуби;Владимир Меньшов;СССР;комедия, мелодрама;1984;166;8.62;1
Лучше не бывает;Джеймс Л. Брукс;США;драма, комедия, мелодрама;1997;167;8.62;0
Маска;Чак Рассел;США;боевик, кинокомикс, комедия, криминал, фэнтези;1994;168;8.61;2
Один дома 2: Затерянный в Нью-Йорке;Крис Коламбус;США;детский, комедия, криминал, приключения, семейный;1992;169;8.61;0
Робокоп;Пол Верховен;США;боевик, драма, криминал, триллер, фантастика;1987;170;8.61;2
Люди в черном;Барри Зонненфельд;США;боевик, кинокомикс, комедия, фантастика;1997;171;8.6;0
Кто я?;Джеки Чан, Бенни Чан;Гонконг;боевик, комедия, приключения, триллер;1998;172;8.6;1
Морозко;Александр Роу;СССР;детский, комедия, мелодрама, семейный, фэнтези;1964;173;8.6;0
Беглец;Эндрю Дэвис;США;боевик, драма, криминал, триллер;1993;174;8.59;0
Девушка с татуировкой дракона;Нильс Арден Оплев;Германия, Дания, Швеция, Норвегия;детектив, драма, криминал, триллер;2009;175;8.59;0
Привет, Джули!;Роб Рейнер;США;драма, комедия, мелодрама;2010;176;8.59;0
Покидая Лас-Вегас;Майк Фиггис;США, Франция, Великобритания;драма, мелодрама;1995;177;8.59;0
Час пик;Бретт Рэтнер;США;боевик, комедия, криминал, триллер;1998;178;8.58;0
Цельнометаллическая оболочка;Стэнли Кубрик;США, Великобритания;боевик, военный, драма;1987;179;8.58;1
Гараж;Эльдар Рязанов;СССР;драма, комедия;1979;180;8.58;0
На грани;Ли Тамахори;США;драма, приключения, триллер;1997;181;8.58;1
Торсо;Серджо Мартино;Италия;детектив, триллер, ужасы;1973;182;8.58;0
Хоббит: Нежданное путешествие;Питер Джексон;США, Новая Зеландия;приключения, семейный, фэнтези;2012;183;8.57;8
Реквием по мечте;Даррен Аронофски;США;драма;2000;184;8.57;1
Правдивая ложь;Джеймс Кэмерон;США;боевик, комедия, мелодрама, приключения, триллер;1994;185;8.57;0
Лабиринт Фавна;Гильермо Дель Торо;США, Испания, Мексика;детектив, драма, триллер, фэнтези;2006;186;8.57;0
Танцующий с волками;Кевин Костнер;США;вестерн, драма, приключения;1990;187;8.57;0
Непрощенный;Клинт Иствуд;США;вестерн, драма;1992;188;8.57;1
Дневник памяти;Ник Кассаветис;США;драма, мелодрама;2004;189;8.57;0
Голый пистолет;Дэвид Цукер;США;боевик, комедия, криминал, мелодрама;1988;190;8.57;0
Бешеные псы;Квентин Тарантино;США;драма, криминал, триллер;1992;191;8.56;0
Доспехи бога 2: Операция Кондор;Джеки Чан;Гонконг;боевик, комедия, криминал, приключения, триллер;1991;192;8.56;0
Секреты Лос-Анджелеса;Кертис Хэнсон;США;детектив, драма, криминал, триллер;1997;193;8.56;0
Охота;Томас Винтерберг;Дания;драма;2012;194;8.56;2
Индиана Джонс и Храм Судьбы;Стивен Спилберг;США;боевик, приключения;1984;195;8.55;0
Страсти Христовы;Мел Гибсон;США;драма;2004;196;8.55;0
Судья;Дэвид Добкин;США;драма;2014;197;8.55;2
Тренировочный день;Антуан Фукуа;США, Австралия;драма, криминал, триллер;2001;198;8.55;0
Остров;Павел Лунгин;Россия;драма;2006;199;8.55;0
Горячие головы 2;Джим Абрахамс;США;боевик, военный, комедия;1993;200;8.55;0
Мумия;Стивен Соммерс;США;боевик, комедия, приключения, триллер, ужасы, фэнтези;1999;201;8.54;1
Человек дождя;Барри Левинсон;США;драма;1988;202;8.54;0
Психо;Альфред Хичкок;США;детектив, триллер, ужасы;1960;203;8.54;1
Таинственная река;Клинт Иствуд;США;детектив, драма, криминал, триллер;2003;204;8.54;0
Жизнь Дэвида Гейла;Алан Паркер;США, Германия;драма, криминал, триллер;2003;205;8.54;1
Радиоволна;Грегори Хоблит;США;драма, криминал, триллер, фантастика;2000;206;8.54;0
Джанго освобожденный;Квентин Тарантино;США;вестерн, драма, кинокомикс;2012;207;8.53;6
Адвокат дьявола;Тейлор Хекфорд;США, Германия;детектив, драма, триллер;1997;208;8.53;1
Ирония судьбы, или С легким паром!;Эльдар Рязанов;СССР;драма, комедия, мелодрама, семейный;1975;209;8.53;0
Искусственный разум;Стивен Спилберг;США;драма, приключения, фантастика;2001;210;8.53;1
Вспомнить все;Пол Верховен;США;боевик, приключения, триллер, фантастика;1990;211;8.53;1
Белое солнце пустыни;Владимир Мотыль;СССР;боевик, военный, драма, комедия, мелодрама, приключения;1969;212;8.53;0
Грязные танцы;Эмиль Ардолино;США;драма, мелодрама, музыка;1987;213;8.53;0
Военный ныряльщик;Джордж Тиллман мл.;США;биографический, драма;2000;214;8.53;1
Малена;Джузеппе Торнаторе;США, Италия;военный, драма, мелодрама, эротика;2000;215;8.53;0
Джерри Магуайер;Кэмерон Кроу;США;комедия, мелодрама, спорт;1996;216;8.53;0
Живая мертвечина;Питер Джексон;Новая Зеландия;комедия, триллер, ужасы, фэнтези;1992;217;8.53;0
Последний самурай;Эдвард Цвик;США;боевик, военный, драма, приключения;2003;218;8.52;1
Охотники за привидениями;Айван Рейтман;США;боевик, комедия, фантастика;1984;219;8.52;0
Скорость;Ян де Бонт;США;боевик, драма, мелодрама, триллер;1994;220;8.52;0
Кровавый алмаз;Эдвард Цвик;США, Германия;драма, приключения, триллер;2006;221;8.52;0
Крупная рыба;Тим Бертон;США;драма, комедия, приключения, фэнтези;2003;222;8.52;1
Пила;Джеймс Ван;Австралия;короткометражный, криминал, триллер, ужасы;2003;223;8.52;0
Амадей;Милош Форман;США;биографический, драма, музыка;1984;224;8.52;0
Пес-призрак: Путь самурая;Джим Джармуш;США, Германия, Франция, Япония;драма, криминал, триллер;1999;225;8.52;0
Аэроплан;Джим Абрахамс, Джерри Цукер, Дэвид Цукер;США;комедия, мелодрама;1980;226;8.52;0
Район №9;Нил Бломкэмп;ЮАР, США, Новая Зеландия, Канада;боевик, триллер, фантастика;2009;227;8.51;1
Добро пожаловать, или посторонним вход воспрещен;Элем Климов;СССР;комедия, семейный;1964;228;8.51;0
Китайский квартал;Роман Полански;США;детектив, драма, криминал, триллер;1974;229;8.51;0
Расплата;Брайан Хелгеленд;США;боевик, драма, криминал, триллер;1999;230;8.51;1
Август;Джон Уэллс;США;драма, комедия;2013;231;8.51;0
Лицо со шрамом;Брайан Де Пальма;США;боевик, драма, криминал;1983;232;8.5;0
Белый плен;Фрэнк Маршалл;США;драма, мелодрама, приключения, семейный;2006;233;8.5;0
Мэверик;Ричард Доннер;США;вестерн, комедия, приключения;1994;234;8.5;0
Английский пациент;Энтони Мингелла;США, Великобритания;военный, драма, мелодрама;1996;235;8.5;0
Фантомас;Андре Юнебель;Франция, Италия;комедия, криминал, приключения, фэнтези;1964;236;8.5;0
72 метра;Владимир Хотиненко;Россия;боевик, драма, триллер;2004;237;8.5;0
Первый мститель 2: Другая война;Энтони Руссо, Джо Руссо;США;боевик, кинокомикс, приключения, фантастика;2014;238;8.49;6
Звездные войны: Эпизод 6 - Возвращение Джедая;Ричард Маркуэнд;США;боевик, приключения, фантастика, фэнтези;1983;239;8.49;0
По соображениям совести;Мел Гибсон;США, Австралия;биографический, военный, драма, мелодрама;2016;240;8.49;0
"Падение ""Черного ястреба""";Ридли Скотт;США;боевик, военный, драма, исторический;2001;241;8.49;0
Умница Уилл Хантинг;Гас Ван Сент;США;драма;1997;242;8.49;1
Стрингер;Дэн Гилрой;США;драма, криминал;2014;243;8.49;0
Двухсотлетний человек;Крис Коламбус;Германия, США;драма, мелодрама, фантастика;1999;244;8.49;0
Талантливый мистер Рипли;Энтони Мингелла;США;детектив, драма, криминал, мелодрама, триллер;1999;245;8.49;0
Отпуск по обмену;Нэнси Майерс;США;комедия, мелодрама;2006;246;8.49;0
Искупление;Джо Райт;Франция, Великобритания;военный, детектив, драма, мелодрама;2007;247;8.49;0
Смертельное оружие 2;Ричард Доннер;США;боевик, криминал, триллер;1989;248;8.48;0
Невозможное;Х.А. Байона;Испания;боевик, драма, триллер;2012;249;8.48;0
Легенды осени;Эдвард Цвик;США;вестерн, военный, драма, мелодрама;1994;250;8.48;0
Фарго;Джоэл Коэн, Итан Коэн;США;драма, криминал, триллер;1996;251;8.48;0
Мемуары гейши;Роб Маршалл;США;биографический, военный, драма, мелодрама;2005;252;8.48;0
С меня хватит!;Джоэл Шумахер;США, Франция, Великобритания;драма, триллер;1993;253;8.48;0
Выстрел в пустоту;Рик Роман Во;США;драма, криминал, триллер;2017;254;8.48;0
Идеальное убийство;Эндрю Дэвис;США;драма, мелодрама, триллер;1998;255;8.48;0
Слова;Брайан Клагман, Ли Стернтал;США;драма, мелодрама;2012;256;8.48;0
Миссия невыполнима 6: Последствия;Кристофер МакКуорри;США;боевик, приключения, триллер;2018;257;8.47;2
Помни;Кристофер Нолан;США;детектив, триллер;2000;258;8.47;2
Артист;Мишель Хазанавичус;Франция;драма, комедия, мелодрама;2011;259;8.47;0
Она;Спайк Джонз;США;драма, комедия, мелодрама, фантастика;2013;260;8.47;2
Пока не сыграл в ящик;Роб Рейнер;США;драма, комедия, приключения;2007;261;8.47;2
Мизери;Роб Рейнер;США, Канада;драма, триллер;1990;262;8.47;1
Полицейский из Беверли-Хиллз;Мартин Брест;США;боевик, драма, комедия, криминал, триллер;1984;263;8.47;1
Охотники за разумом;Ренни Харлин;США, Финляндия, Великобритания, Нидерланды;детектив, драма, триллер;2004;264;8.47;0
Семьянин;Бретт Рэтнер;США;драма, комедия, мелодрама, фэнтези;2000;265;8.47;0
В диких условиях;Шон Пенн;США;биографический, драма, приключения;2007;266;8.47;1
К-9: Собачья работа;Род Дэниэл;США;боевик, комедия, криминал;1989;267;8.47;0
Люди Икс: Дни минувшего будущего;Брайан Сингер;США;боевик, кинокомикс, фантастика;2014;268;8.46;5
Логан;Джеймс Мэнголд;США;боевик, драма, кинокомикс, триллер, фантастика;2017;269;8.46;2
Загадочная история Бенджамина Баттона;Дэвид Финчер;США;детектив, драма, мелодрама, фэнтези;2008;270;8.46;0
Шестое чувство;М. Найт Шьямалан;США;детектив, драма, мистика, триллер;1999;271;8.46;1
Идентификация Борна;Даг Лайман;США, Германия, Чехия;боевик, детектив, приключения, триллер;2002;272;8.46;0
Форсаж;Роб Коэн;Германия, США;боевик, драма, криминал, триллер;2001;273;8.46;2
Ford против Ferrari;Джеймс Мэнголд;США, Франция;биографический, боевик, драма, спорт;2019;274;8.46;1
Такси;Жерар Пирес;Франция;боевик, комедия, криминал;1998;275;8.46;0
Подмена;Клинт Иствуд;США;драма;2008;276;8.46;2
Апокалипсис;Мел Гибсон;США;боевик, драма, приключения;2006;277;8.45;0
Красота по-американски;Сэм Мендес;США;драма;1999;278;8.45;1
Схватка;Майкл Манн;США;боевик, драма, криминал, триллер;1995;279;8.45;0
Кровавый спорт;Ньют Арнольд;США;биографический, боевик, спорт;1988;280;8.45;0
В осаде;Эндрю Дэвис;США;боевик, драма, триллер;1992;281;8.45;0
Д`Артаньян и три мушкетера;Георгий Юнгвальд-Хилькевич;СССР;исторический, мюзикл, приключения;1979;282;8.45;0
За бортом;Гэрри Маршалл;США;комедия, мелодрама;1987;283;8.45;0
Троя;Вольфганг Петерсен;США, Великобритания, Мальта;боевик, исторический, мелодрама;2004;284;8.44;3
Я, робот;Алекс Пройас;США, Германия;боевик, детектив, триллер, фантастика;2004;285;8.44;0
Константин: Повелитель тьмы;Френсис Лоуренс;США, Германия;боевик, драма, кинокомикс, триллер, ужасы, фэнтези;2005;286;8.44;2
Одиннадцать друзей Оушена;Стивен Содерберг;США, Австралия;комедия, криминал, триллер;2001;287;8.44;0
Сияние;Стэнли Кубрик;США;мистика, триллер, ужасы;1980;288;8.44;1
Ультиматум Борна;Пол Гринграсс;США, Германия;боевик, детектив, приключения, триллер;2007;289;8.44;0
