Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
С широко закрытыми глазами;Стэнли Кубрик;США, Великобритания;детектив, драма, триллер, эротика;1999;553;8.19;0
Двадцать одно;Роберт Лукетич;США;драма;2008;554;8.19;0
Шаг вперед;Энн Флетчер;США;драма, криминал, мелодрама, музыка;2006;555;8.19;0
Брачная история;Ноа Баумбах;США, Великобритания;драма, комедия;2019;556;8.19;0
Неприкасаемые;Брайан Де Пальма;США;драма, исторический, криминал, триллер;1987;557;8.19;0
Фантомас разбушевался;Андре Юнебель;Франция, Италия;комедия, криминал, приключения, фэнтези;1965;558;8.19;0
Хоббит 3: Битва пяти воинств;Питер Джексон;США, Новая Зеландия;приключения, семейный, фэнтези;2014;559;8.18;4
Джентльмены;Гай Ричи;США;боевик, криминал;2020;560;8.18;1
1917;Сэм Мендес;США, Великобритания;военный, драма, исторический;2019;561;8.18;0
Я, снова я и Ирэн;Бобби Фаррелли, Питер Фаррелли;США;комедия;2000;562;8.18;0
Страшилы;Питер Джексон;США, Новая Зеландия;комедия, триллер, ужасы, фэнтези;1996;563;8.18;0
Контакт;Роберт Земекис;США;детектив, драма, триллер, фантастика;1997;564;8.18;0
Игра на понижение;Адам МакКэй;США;биографический, драма;2015;565;8.18;1
Джейн Эйр;Кэри Фукунага;Великобритания;драма, мелодрама;2011;566;8.18;0
Призрак оперы;Джоэл Шумахер;США, Великобритания;драма, мелодрама, мюзикл, триллер;2004;567;8.18;0
Харлей Дэвидсон и ковбой Мальборо;Саймон Уинсер;США;боевик, драма, криминал, триллер;1991;568;8.18;0
Специалист;Луис Ллоса;США, Перу;боевик, драма, криминал, триллер;1994;569;8.18;1
День выборов;Олег Фомин;Россия;комедия;2007;570;8.18;0
Звездные войны: Эпизод 1 - Скрытая угроза;Джордж Лукас;США;боевик, приключения, фантастика, фэнтези;1999;571;8.17;2
День независимости;Роланд Эммерих;США;боевик, приключения, триллер, фантастика;1996;572;8.17;0
Город Грехов;Фрэнк Миллер, Квентин Тарантино, Роберт Родригес;США;кинокомикс, криминал, триллер;2005;573;8.17;1
Блэйд;Стивен Норрингтон;США;боевик, кинокомикс, ужасы, фэнтези;1998;574;8.17;1
Дюна;Дени Вильнев;США, Канада;драма, приключения, фантастика;2021;575;8.17;3
Вселенная Стивена Хокинга;Джеймс Марш;Великобритания;биографический, драма;2014;576;8.17;0
Виноваты звезды;Джош Бун;США;драма, мелодрама;2014;577;8.17;0
Робин Гуд: Принц воров;Кевин Рейнольдс;США;боевик, драма, мелодрама, приключения;1991;578;8.17;0
Пришельцы;Жан-Мари Пуаре;Франция;комедия, фэнтези;1993;579;8.17;0
До встречи с тобой;Теа Шэррок;США, Великобритания;драма, мелодрама;2016;580;8.17;0
Мстители 4: Финал;Энтони Руссо, Джо Руссо;США;боевик, кинокомикс, приключения, фантастика, фэнтези;2019;581;8.16;6
Омерзительная восьмерка;Квентин Тарантино;США;вестерн;2015;582;8.16;3
Боевой конь;Стивен Спилберг;США;боевик, военный, драма, исторический, приключения;2011;583;8.16;0
Бегущий человек;Пол Майкл Глейзер;США;боевик, триллер, фантастика;1987;584;8.16;0
Куда приводят мечты;Винсент Уорд;США, Новая Зеландия;драма, мелодрама, фэнтези;1998;585;8.16;1
Мулен Руж;Баз Лурман;США, Австралия;драма, мелодрама, мюзикл;2001;586;8.16;1
Влюбленный Шекспир;Джон Мэдден;Великобритания, США;драма, исторический, комедия, мелодрама;1998;587;8.16;0
Джек Ричер;Кристофер МакКуорри;США;боевик, драма, криминал, триллер;2012;588;8.15;2
Брат;Алексей Балабанов;Россия;боевик, драма, криминал, музыка;1997;589;8.15;1
Разрушитель;Марко Брамбилла;США;боевик, криминал, фантастика;1993;590;8.15;0
История рыцаря;Брайан Хелгеленд;США;боевик, комедия, мелодрама, приключения;2001;591;8.15;0
Гаттака;Эндрю Никкол;США;драма, мелодрама, триллер, фантастика;1997;592;8.15;0
Звездные врата;Роланд Эммерих;США, Франция;боевик, приключения, фантастика, фэнтези;1994;593;8.15;1
Оружейный барон;Эндрю Никкол;США;драма, криминал;2005;594;8.15;0
Порок на экспорт;Дэвид Кроненберг;США, Канада, Великобритания;детектив, драма, криминал, триллер;2007;595;8.15;0
Август Раш;Керстен Шеридан;США;драма, мелодрама, музыка;2007;596;8.15;0
Сердцеедки;Дэвид Миркин;США;комедия, криминал, мелодрама;2001;597;8.15;0
Ван Хельсинг;Стивен Соммерс;США, Чехия;боевик, приключения, триллер, ужасы, фэнтези;2004;598;8.14;0
Однажды... в Голливуде;Квентин Тарантино;Великобритания, США;драма, комедия;2019;599;8.14;3
Агора;Алехандро Аменабар;Испания, Мальта;драма, исторический, мелодрама, приключения;2009;600;8.14;1
Убить Билла;Квентин Тарантино;США;боевик, драма, криминал, триллер;2003;601;8.13;2
Иллюзионист;Нил Бергер;США, Чехия;детектив, драма, мелодрама, триллер;2006;602;8.13;0
Угнать за 60 секунд;Доминик Сена;США;боевик, криминал, триллер;2000;603;8.13;1
Дрожь земли;Рон Андервуд;США;комедия, ужасы, фантастика;1990;604;8.13;0
Семь психопатов;Мартин МакДона;США, Великобритания;комедия, криминал;2012;605;8.13;0
Безумный Макс 2: Воин дороги;Джордж Миллер;Австралия;боевик, приключения, триллер, фантастика;1981;606;8.13;1
Девять ярдов;Джонатан Линн;США;драма, комедия, криминал, мелодрама, приключения;2000;607;8.13;0
Смерч;Ян де Бонт;США;боевик, драма, приключения, триллер;1996;608;8.13;0
Резня;Роман Полански;Германия, Франция, Испания, Польша;драма, комедия;2011;609;8.13;0
P.S. Я люблю тебя;Ричард ЛаГравенес;США;драма, комедия, мелодрама;2007;610;8.13;0
Большой переполох в маленьком Китае;Джон Карпентер;США;боевик, комедия, мелодрама, приключения, фэнтези;1986;611;8.13;0
Дело храбрых;Джозеф Косински;США;биографический, драма;2017;612;8.13;0
Иствикские ведьмы;Джордж Миллер;США;комедия, музыка, триллер, ужасы, фэнтези;1987;613;8.13;0
Доктор Стрэндж;Скотт Дерриксон;США;боевик, кинокомикс, приключения, фэнтези;2016;614;8.12;2
Мой парень - псих;Дэвид О. Расселл;США;драма, комедия;2012;615;8.12;1
Амели;Жан-Пьер Жене;Франция, Германия;драма, комедия, мелодрама;2001;616;8.12;0
Смертельная битва;Пол В.С. Андерсон;США;боевик, приключения, триллер, фантастика, фэнтези;1995;617;8.12;1
"Дьявол носит ""Prada""";Дэвид Фрэнкел;США;драма, комедия;2006;618;8.12;0
Хорошо быть тихоней;Стивен Чбоски;США;драма, мелодрама;2012;619;8.12;0
Сладкий ноябрь;Пэт О`Коннор;США;драма, комедия, мелодрама;2001;620;8.12;0
Чтец;Стивен Долдри;США, Германия;военный, драма, исторический, мелодрама, триллер;2008;621;8.12;0
Али;Майкл Манн;США;биографический, драма, спорт;2001;622;8.12;1
Облачный атлас;Том Тыквер, Лана Вачовски, Лилли Вачовски;США, Германия, Гонконг, Сингапур;детектив, драма, фантастика;2012;623;8.11;4
Горбатая гора;Энг Ли;США;драма, мелодрама;2005;624;8.11;0
Универсальный солдат;Роланд Эммерих;США;боевик, драма, фантастика;1992;625;8.11;1
Комната страха;Дэвид Финчер;США;детектив, драма, криминал, триллер;2002;626;8.11;1
Скалолаз;Ренни Харлин;США, Франция, Италия;боевик, приключения, триллер;1993;627;8.11;0
Идеальный шторм;Вольфганг Петерсен;США, Германия;боевик, драма, приключения, триллер;2000;628;8.11;0
Машина времени;Саймон Уэллс;США;боевик, приключения, фантастика;2002;629;8.11;0
Особенности национальной охоты;Александр Рогожкин;Россия;комедия;1995;630;8.11;0
Последний бойскаут;Тони Скотт;США;боевик, детектив, драма, комедия, криминал, триллер;1991;631;8.11;0
Реальная любовь;Ричард Кертис;США, Великобритания;драма, комедия, мелодрама;2003;632;8.11;0
Жасмин;Вуди Аллен;США;драма;2013;633;8.11;0
Солдаты неудачи;Бен Стиллер;Германия, США;боевик, военный, комедия;2008;634;8.1;1
Пленницы;Дени Вильнев;США;детектив, драма, криминал, триллер;2013;635;8.1;0
Тайное окно;Дэвид Кепп;США;детектив, драма, триллер;2004;636;8.1;0
Комната;Леонард Абрахамсон;Ирландия, Канада, Великобритания, США;драма, триллер;2015;637;8.1;0
Мыс страха;Мартин Скорсезе;США;криминал, триллер, ужасы;1991;638;8.1;0
Семь жизней;Габриэле Муччино;США;драма;2008;639;8.09;1
Планета Ка-Пэкс;Иэн Софтли;США, Германия;драма, фантастика;2001;640;8.09;0
Рассвет мертвецов;Зак Снайдер;США, Канада, Франция, Япония;драма, триллер, ужасы, фантастика;2004;641;8.09;0
Рейд 2;Гарет Эванс;Индонезия, США;боевик, криминал, триллер;2014;642;8.09;0
Патруль;Дэвид Эйер, Дэвид Эйр;США;детектив, драма, криминал, триллер;2012;643;8.09;1
Два ствола;Бальтасар Кормакур;США;боевик, криминал, триллер;2013;644;8.09;0
Поцелуй навылет;Шейн Блэк;США;боевик, детектив, комедия, криминал, триллер;2005;645;8.09;0
Секретные материалы: Борьба за будущее;Роб Боумен;США;детектив, криминал, триллер, ужасы, фантастика;1998;646;8.09;0
Тюряга;Джон Флинн;США;боевик, криминал, триллер;1989;647;8.09;0
Жестокие игры;Роджер Камбл;США;драма, мелодрама, триллер;1999;648;8.09;0
Человек, который изменил все;Беннетт Миллер;США;биографический, драма, спорт;2011;649;8.08;0
Факультет;Роберт Родригес;США;триллер, ужасы, фантастика;1998;650;8.08;0
Дурак;Юрий Быков;Россия;драма;2014;651;8.08;0
Куб;Винченцо Натали;Канада;детектив, драма, триллер, ужасы, фантастика;1997;652;8.08;0
